chromosome	IDs	expression
chr6	chr6_187372	intergenic
chr6	chr6_203816	intergenic
chr6	chr6_227115	intergenic
chr6	chr6_230419	intergenic
chr6	chr6_232604	intergenic
chr6	chr6_236656	intergenic
chr6	chr6_240098	intergenic
chr6	chr6_244002	intergenic
chr6	chr6_246332	intergenic
chr6	chr6_250141	intergenic
chr6	chr6_250244	intergenic
chr6	chr6_257428	intergenic
chr6	chr6_259602	intergenic
chr6	chr6_259669	intergenic
chr6	chr6_262181	intergenic
chr6	chr6_262853	intergenic
chr6	chr6_272645	intergenic
chr6	chr6_275605	intergenic
chr6	chr6_276619	intergenic
chr6	chr6_278524	intergenic
chr6	DUSP22	stable
chr6	chr6_297153	intergenic
chr6	chr6_306084	intergenic
chr6	chr6_306734	intergenic
chr6	chr6_307411	intergenic
chr6	chr6_308801	intergenic
chr6	chr6_310979	intergenic
chr6	chr6_316791	intergenic
chr6	chr6_322752	intergenic
chr6	chr6_328424	intergenic
chr6	chr6_332903	intergenic
chr6	chr6_333018	intergenic
chr6	chr6_339700	intergenic
chr6	chr6_345593	intergenic
chr6	chr6_350049	intergenic
chr6	chr6_352398	intergenic
chr6	chr6_356851	intergenic
chr6	chr6_363292	intergenic
chr6	chr6_363754	intergenic
chr6	chr6_366557	intergenic
chr6	chr6_373884	intergenic
chr6	chr6_375746	intergenic
chr6	chr6_381585	intergenic
chr6	chr6_383038	intergenic
chr6	chr6_390386	intergenic
chr6	IRF4	up
chr6	chr6_396368	intergenic
chr6	chr6_405532	intergenic
chr6	chr6_409199	intergenic
chr6	chr6_411250	intergenic
chr6	chr6_431718	intergenic
chr6	chr6_434931	intergenic
chr6	chr6_445829	intergenic
chr6	chr6_449030	intergenic
chr6	chr6_459856	intergenic
chr6	chr6_462496	intergenic
chr6	chr6_476421	intergenic
chr6	chr6_478845	intergenic
chr6	chr6_481879	intergenic
chr6	chr6_483452	intergenic
chr6	chr6_490208	intergenic
chr6	chr6_494186	intergenic
chr6	chr6_498122	intergenic
chr6	chr6_499063	intergenic
chr6	chr6_502691	intergenic
chr6	chr6_507541	intergenic
chr6	chr6_518069	intergenic
chr6	chr6_525151	intergenic
chr6	chr6_526247	intergenic
chr6	chr6_534477	intergenic
chr6	chr6_536809	intergenic
chr6	chr6_538015	intergenic
chr6	chr6_543102	intergenic
