chromosome	ID_locus1	ID_locus2	interaction_status	distance
chr6	IRF4	chr6_409199	stable	18063
chr6	IRF4	chr6_411250	stable	20114
chr6	NQO2	chr6_2997458	stable	9836
chr6	NQO2	chr6_3059787	stable	72165
chr6	FAM50B	chr6_3858392	stable	10688
chr6	FAM50B	chr6_3859943	stable	12239
chr6	FAM217A	chr6_4092085	stable	15367
chr6	CDYL	chr6_4712353	stable	10029
chr6	NRN1	chr6_6014724	stable	19144
chr6	NRN1	chr6_6016539	stable	20959
chr6	MIR5683	chr6_6170999	stable	4323
chr6	MIR5683	chr6_6179555	stable	12879
chr6	MIR5683	chr6_6181033	stable	14357
chr6	F13A1	chr6_6325104	stable	6494
chr6	RIOK1	chr6_7394000	stable	4594
chr6	TXNDC5	chr6_7919553	stable	19647
chr6	BLOC1S5-TXNDC5	chr6_8069468	stable	11759
chr6	EEF1E1	chr6_8105906	stable	9038
chr6	MIR5689	chr6_10444814	stable	5176
chr6	MIR5689	chr6_10446814	stable	7176
chr6	MIR5689	chr6_10450659	stable	11021
chr6	GCNT2	chr6_10501264	stable	12452
chr6	GCM2	chr6_10888958	stable	9517
chr6	GCM2	chr6_10896836	stable	17395
chr6	GCM2	chr6_10897477	stable	18036
chr6	GCM2	chr6_10899984	stable	20543
chr6	ELOVL2	chr6_11047047	stable	4245
chr6	ELOVL2	chr6_11048307	stable	5505
chr6	ELOVL2	chr6_11053484	stable	10682
chr6	EDN1	chr6_12292196	stable	4555
chr6	RNU1-11P	chr6_13217957	stable	6684
chr6	RNU1-11P	chr6_13219411	stable	8138
chr6	RANBP9	chr6_13726665	stable	16510
chr6	RANBP9	chr6_13727837	stable	17682
chr6	RNF182	chr6_13927409	stable	2801
chr6	RNF182	chr6_13930005	stable	5397
chr6	U6.490	chr6_14655119	stable	14713
chr6	U6.247	chr6_15322458	stable	10178
chr6	U6.247	U6.264	stable	12330
chr6	MYLIP	chr6_16132407	stable	4790
chr6	MIR4639	chr6_16152065	stable	17527
chr6	MIR4639	chr6_16156820	stable	22282
chr6	U6.921	chr6_16205579	stable	5660
chr6	U6.921	chr6_16208515	stable	8596
chr6	ATXN1	chr6_16763703	stable	4498
chr6	ATXN1	chr6_16769677	stable	10472
chr6	RBM24	chr6_17288959	stable	10903
chr6	U6.166	chr6_18312987	stable	9555
chr6	snoU13.79	chr6_18402315	stable	2872
chr6	snoU13.79	chr6_18405237	stable	5794
chr6	MIR548A1	chr6_18578133	stable	7196
chr6	ID4	chr6_19839816	stable	2922
chr6	ID4	chr6_19842333	stable	5439
chr6	ID4	chr6_19842596	stable	5702
chr6	NRSN1	chr6_24130319	stable	4147
chr6	U6.314	chr6_24370053	stable	5345
chr6	LRRC16A	chr6_25290562	stable	14101
chr6	HIST1H1C	chr6_26063198	stable	12329
chr6	HFE	chr6_26091136	stable	3864
chr6	HIST1H1T	chr6_26113514	stable	5524
chr6	HIST1H2AD	chr6_26221236	stable	24350
chr6	HIST1H2AD	chr6_26283091	stable	86205
chr6	HIST1H2BF	chr6_26207692	stable	8010
chr6	HIST1H2BF	HIST1H2BG	stable	12010
chr6	HIST1H2BG	chr6_26221236	stable	9544
chr6	HIST1H3E	HIST1H1D	stable	11658
chr6	HIST1H1D	HIST1H4F	stable	3827
chr6	HIST1H1D	HIST1H4G	stable	9453
chr6	HIST1H4G	HIST1H3G	stable	26675
chr6	HIST1H3G	HIST1H4H	stable	14018
chr6	HIST1H4H	chr6_26295819	stable	10759
chr6	BTN1A1	chr6_26503135	stable	5298
chr6	BTN1A1	chr6_26504045	stable	6208
chr6	BTN1A1	chr6_26505998	stable	8161
chr6	BTN1A1	chr6_26510741	stable	12904
chr6	HIST1H2BJ	chr6_27111876	stable	12774
chr6	HIST1H2BK	chr6_27115525	stable	2078
chr6	PRSS16	chr6_27217481	stable	3507
chr6	PRSS16	chr6_27220620	stable	6646
chr6	PRSS16	chr6_27222397	stable	8423
chr6	HIST1H3H	HIST1H4J	stable	14342
chr6	HIST1H4J	HIST1H4K	stable	1481
chr6	HIST1H4J	HIST1H3I	stable	46655
chr6	HIST1H4K	HIST1H2AK	stable	9662
chr6	HIST1H4K	HIST1H1B	stable	41904
chr6	HIST1H4K	HIST1H3J	stable	65673
chr6	HIST1H2AL	HIST1H1B	stable	4535
chr6	HIST1H1B	HIST1H3I	stable	3270
chr6	HIST1H1B	HIST1H4L	stable	6031
chr6	HIST1H1B	HIST1H3J	stable	23769
chr6	HIST1H3I	HIST1H4L	stable	2761
chr6	HIST1H4L	chr6_27845140	stable	4758
chr6	HIST1H4L	chr6_27849445	stable	9063
chr6	HIST1H4L	chr6_27852999	stable	12617
chr6	HIST1H4L	HIST1H3J	stable	17738
chr6	HIST1H2BO	chr6_27865484	stable	4449
chr6	HIST1H2BO	chr6_27866195	stable	5160
chr6	ZSCAN16	ZKSCAN8	stable	16645
chr6	ZKSCAN8	chr6_28110014	stable	1043
chr6	ZKSCAN8	chr6_28110855	stable	1884
chr6	ZSCAN9	chr6_28195816	stable	3254
chr6	ZKSCAN4	chr6_28229102	stable	8819
chr6	ZKSCAN4	chr6_28233614	stable	13331
chr6	ZKSCAN4	chr6_28235581	stable	15298
chr6	ZSCAN23	chr6_28431356	stable	22859
chr6	ZSCAN23	chr6_28434901	stable	26404
chr6	LINC00336	ITPR3	stable	21768
chr6	IP6K3	chr6_33737709	stable	26362
chr6	MLN	chr6_33775356	stable	11400
chr6	MIR1275	chr6_33976926	stable	12222
chr6	TAF11	chr6_34862943	stable	9724
chr6	SCUBE3	chr6_35184220	stable	6737
chr6	SCUBE3	chr6_35189487	stable	12004
chr6	PPARD	FANCE	stable	101020
chr6	TEAD3	chr6_35476464	stable	31171
chr6	CLPS	LHFPL5	stable	2191
chr6	PNPLA1	chr6_36212887	stable	2000
chr6	ETV7	chr6_36358440	stable	3834
chr6	Z85986.1	chr6_36483742	stable	6472
chr6	Z85986.1	chr6_36487095	stable	9825
chr6	STK38	chr6_36516549	stable	2076
chr6	MIR3925	CDKN1A	stable	53698
chr6	snoU13.45	chr6_37233701	stable	19657
chr6	snoU13.45	chr6_37237029	stable	22985
chr6	RNF8	chr6_37330735	stable	20201
chr6	MIR4462	chr6_37530421	stable	16999
chr6	MDGA1	chr6_37685038	stable	29158
chr6	ZFAND3	chr6_37788674	stable	21540
chr6	ZFAND3	chr6_37792382	stable	25248
chr6	U1.19	chr6_37887826	stable	4610
chr6	BTBD9-AS1	chr6_38456160	stable	8160
chr6	GLO1	chr6_38678576	stable	17252
chr6	GLP1R	chr6_39022999	stable	7113
chr6	GLP1R	chr6_39027115	stable	11229
chr6	UNC5CL	chr6_41012141	stable	17483
chr6	UNC5CL	chr6_41022229	stable	27571
chr6	OARD1	chr6_41071513	stable	7063
chr6	OARD1	chr6_41073064	stable	8614
chr6	U6.418	chr6_41280742	stable	12070
chr6	NCR2	chr6_41317232	stable	18701
chr6	MIR4641	chr6_41575334	stable	13175
chr6	SNORA8.1	chr6_41801746	stable	2188
chr6	USP49	chr6_41876472	stable	15629
chr6	MED20	chr6_42007384	stable	123040
chr6	U6.466	chr6_42005412	stable	20134
chr6	RPL7L1	chr6_42851406	stable	10267
chr6	RPL7L1	chr6_42852722	stable	11583
chr6	PEX6	MEA1	stable	35816
chr6	MEA1	RRP36	stable	14772
chr6	MEA1	chr6_42992823	stable	18423
chr6	MEA1	chr6_43002168	stable	27768
chr6	ZNF318	chr6_43344250	stable	10808
chr6	DLK2	chr6_43470594	stable	48697
chr6	DLK2	chr6_43472299	stable	50402
chr6	SCARNA15.2	chr6_43515213	stable	6686
chr6	MRPS18A	chr6_43662152	stable	7421
chr6	SLC29A1	chr6_44200920	stable	18276
chr6	HSP90AB1	MIR4647	stable	9624
chr6	HSP90AB1	SLC35B2	stable	14354
chr6	SPATS1	chr6_44313229	stable	3145
chr6	MIR4642	chr6_44404119	stable	1024
chr6	MIR4642	chr6_44405290	stable	2195
chr6	ENPP4	chr6_46105147	stable	7807
chr6	PLA2G7	chr6_46708700	stable	19076
chr6	PLA2G7	ANKRD66	stable	20673
chr6	ANKRD66	chr6_46715004	stable	4707
chr6	ANKRD66	chr6_46719717	stable	9420
chr6	GPR116	chr6_46924793	stable	4798
chr6	GPR110	chr6_47011516	stable	2028
chr6	TNFRSF21	chr6_47288818	stable	11234
chr6	CD2AP	chr6_47451341	stable	6585
chr6	GPR111	chr6_47625053	stable	3801
chr6	U1.18	chr6_47800099	stable	9104
chr6	U1.18	chr6_47808253	stable	17258
chr6	DEFB113	chr6_49940250	stable	3298
chr6	TFAP2D	chr6_50683864	stable	2670
chr6	MIR206	MIR133B	stable	3610
chr6	MIR206	chr6_52016233	stable	8383
chr6	MIR133B	chr6_52016233	stable	4773
chr6	IL17F	chr6_52122703	stable	15266
chr6	MCM3	chr6_52151155	stable	1490
chr6	MCM3	chr6_52152120	stable	2455
chr6	MCM3	chr6_52154721	stable	5056
chr6	MCM3	chr6_52254688	stable	105023
chr6	EFHC1	chr6_52288295	stable	8217
chr6	FBXO9	chr6_52919599	stable	5269
chr6	FBXO9	ICK	stable	6174
chr6	MIR5685	chr6_53145185	stable	3970
chr6	GCLC	chr6_53489559	stable	7818
chr6	KLHL31	chr6_53532100	stable	2006
chr6	LRRC1	chr6_53666797	stable	10119
chr6	U6.949	chr6_54668016	stable	19101
chr6	BAG2	chr6_57041040	stable	6211
chr6	BAG2	chr6_57046836	stable	12007
chr6	PRIM2	chr6_57180003	stable	1417
chr6	PRIM2	chr6_57184312	stable	5726
chr6	LGSN	chr6_64031967	stable	2495
chr6	COL9A1	chr6_71015809	stable	7335
chr6	COL9A1	chr6_71016083	stable	7609
chr6	KCNQ5-AS1	chr6_73857472	stable	4522
chr6	DPPA5	chr6_74076045	stable	13079
chr6	OOEP-AS1	snoU13.83	stable	21939
chr6	snoU13.83	chr6_74122019	stable	22034
chr6	EEF1A1	chr6_74234060	stable	5848
chr6	FILIP1	chr6_76219089	stable	15820
chr6	U6.1002	chr6_76313615	stable	13772
chr6	MYO6	chr6_76467904	stable	13097
chr6	snoU13.404	chr6_76577905	stable	12191
chr6	snoU13.404	chr6_76582930	stable	17216
chr6	snoU13.404	chr6_76584219	stable	18505
chr6	HMGN3	chr6_79946519	stable	3424
chr6	LCA5	chr6_80253273	stable	8949
chr6	LCA5	chr6_80254809	stable	10485
chr6	BCKDHB	chr6_80844283	stable	28378
chr6	FAM46A	chr6_82471201	stable	11018
chr6	PRSS35	chr6_84223808	stable	2262
chr6	SNAP91	chr6_84425824	stable	9501
chr6	SNAP91	chr6_84431892	stable	15569
chr6	RIPPLY2	chr6_84563853	stable	2033
chr6	TBX18	chr6_85478920	stable	6338
chr6	TBX18	chr6_85482005	stable	9423
chr6	SYNCRIP	chr6_86356281	stable	6042
chr6	SYNCRIP	SNHG5	stable	38055
chr6	CGA	chr6_87812006	stable	14761
chr6	CGA	chr6_87814069	stable	16824
chr6	CNR1	chr6_88884910	stable	10404
chr6	CNR1	chr6_88891465	stable	16959
chr6	CNR1	chr6_88893878	stable	19372
chr6	PNRC1	chr6_89790600	stable	1477
chr6	PM20D2	chr6_89858188	stable	3355
chr6	UBE2J1	chr6_90064232	stable	3504
chr6	RRAGD	chr6_90126740	stable	6263
chr6	ANKRD6	chr6_90146547	stable	4448
chr6	LYRM2	chr6_90355556	stable	9899
chr6	MAP3K7	chr6_91297223	stable	2842
chr6	U3.11	chr6_92830768	stable	6885
chr6	KLHL32	chr6_97374685	stable	7655
chr6	COQ3	chr6_99850468	stable	8912
chr6	PRDM13	chr6_100059150	stable	9210
chr6	SIM1	chr6_100919164	stable	6485
chr6	PRDM1	chr6_106538007	stable	6083
chr6	AIM1	chr6_106961412	stable	8960
chr6	RTN4IP1	chr6_107085198	stable	8780
chr6	RTN4IP1	chr6_107086819	stable	10401
chr6	PDSS2	chr6_107783712	stable	5520
chr6	SEC63	chr6_108287586	stable	9461
chr6	OSTM1	chr6_108495766	stable	12127
chr6	ARMC2	chr6_109177268	stable	7868
chr6	U6.80	chr6_109388704	stable	12619
chr6	snoU13.88	chr6_109617379	stable	10337
chr6	MICAL1	chr6_109792194	stable	5979
chr6	ZBTB24	chr6_109812335	stable	17901
chr6	ZBTB24	chr6_109816614	stable	22180
chr6	WASF1	chr6_110505316	stable	6311
chr6	DDO	chr6_110747348	stable	7316
chr6	U6.148	chr6_111045875	stable	6214
chr6	GTF3C6	RPF2	stable	15477
chr6	SLC16A10	chr6_111413493	stable	15528
chr6	U6.199	chr6_111413493	stable	1512
chr6	U6.199	chr6_111418489	stable	6508
chr6	WISP3	chr6_112384033	stable	10455
chr6	TUBE1	chr6_112418171	stable	10884
chr6	LAMA4	chr6_112580558	stable	8170
chr6	snoU13.389	chr6_112803538	stable	12223
chr6	U3.81	chr6_114114505	stable	18658
chr6	HS3ST5	chr6_114671669	stable	10551
chr6	Z84488.1	chr6_116785644	stable	9937
